Highest Education Level,Total Hours Worked,Electoral Division,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",% Receiving SW,% Pension is Majority,Income per commuter for <30mins,Income per commuter for >30mins,Household Income
50,308,"084 Beagh, Co. Galway",5,7.1,10.1,10.3,19.3,33.2,15.0,11.3,14.5,27175,39313,40014
30,246,"085 Cahermore, Co. Galway",8.3,7.3,16.9,9.7,14,27.1,16.8,5.3,12.4,28678,42927,53815
9,43,"086 Cappard, Co. Galway",17.6,0.4,3.7,7.8,3.2,40.2,27.0,13.2,21.1,..,..,38832
40,272,"087 Castletaylor, Co. Galway",4.7,3.7,12.6,14.2,12.8,34.6,17.3,6.6,9.1,33799,45705,65789
73,346,"088 Doorus, Co. Galway",5.1,4.5,12.2,18.3,10.1,36.2,13.5,8.7,12.5,32000,46470,50379
95,571,"089 Drumacoo, Co. Galway",2.9,5,12.1,13.2,14.2,37.2,15.4,8.6,12.5,35224,42525,54452
151,"1,237","090 Gort, Co. Galway",1.9,6,13.4,8.5,18.9,30.0,21.3,20.4,13.3,21201,31541,32152
19,140,"091 Kilbeacanty, Co. Galway",9.9,8.7,13.4,6.6,13.5,30.3,17.5,13.2,14,23303,30799,44114
150,767,"092 Killeely, Co. Galway",2.9,5.8,10.9,13.8,16.7,28.8,21.1,4.4,8.3,35952,42711,64526
52,349,"093 Killeenavarra, Co. Galway",4.2,6.8,11.7,14.3,15.9,32.8,14.2,4.5,7.3,35154,52878,65090
22,211,"094 Killinny, Co. Galway",9.3,6.3,9,8.9,18.4,25.4,22.6,5.3,14.7,23596,36057,51591
52,365,"095 Kiltartan, Co. Galway",7.4,5.7,12.4,8.9,16.9,27.2,21.6,9.2,16.9,30916,36967,49159
7,42,"096 Kilthomas, Co. Galway",4.7,10.8,17.7,4.8,5.1,37.7,19.0,11.8,20.6,..,..,35365
113,648,"097 Kinvarra, Co. Galway",3.7,5.1,15.9,16.2,11.7,30.0,17.4,8,12,25450,52129,52936
22,156,"098 Rahasane, Co. Galway",8.1,6.8,15.4,8.9,13.6,30.9,16.4,6.3,12.5,37054,44114,61060
37,211,"099 Skehanagh, Co. Galway",5.9,7.7,13.9,14.5,13.2,24.5,20.4,7.5,13.8,31200,40148,48466
19,168,"100 Aille, Co. Galway",5.3,9.8,13.4,9.4,16.7,30.3,15.1,5.2,18.7,27140,35095,46961
349,"2,307","101 Athenry, Co. Galway",1.1,5,14.2,11.8,17.3,30.4,20.1,13.3,9.9,29816,39050,45137
13,88,"102 Ballynagar, Co. Galway",11.6,10.7,9.5,5.4,15.7,35.6,11.6,13.7,26,22425,40705,29168
27,179,"103 Bracklagh, Co. Galway",12,9.7,14.4,8.9,10,27.4,17.5,8.4,21.9,25883,34143,43910
15,121,"104 Bullaun, Co. Galway",5.9,1.5,10.4,11.4,21.8,33.6,15.3,5.7,11.4,32518,42439,56315
19,183,"105 Cappalusk, Co. Galway",8.1,9,13.7,7.3,18.1,26.0,17.8,6.3,16.4,24131,35288,53542
46,233,"106 Castleboy, Co. Galway",9.4,4.7,11.8,6.9,18.7,30.0,18.6,10.6,14.5,26496,35980,43143
41,194,"107 Cloonkeen, Co. Galway",5.4,10.6,14.3,9,17.9,23.4,19.5,6.2,17.2,29356,45530,49958
15,73,"108 Colmanstown, Co. Galway",3.5,9.3,19.9,15,14.3,22.4,15.6,5.8,13.5,28622,40261,53687
115,761,"109 Craughwell, Co. Galway",3.2,4.7,12.8,10.6,15.5,31.8,21.5,5.9,8.5,31796,39130,58475
11,45,"110 Derrylaur, Co. Galway",13.6,10.1,3.8,..,14,40.9,17.6,9.5,23.8,24713,35961,32947
33,264,"111 Drumkeary, Co. Galway",6.1,6.9,14.4,8.4,16.1,31.6,16.5,9.2,19.8,30507,36030,44680
24,168,"112 Graigabbey, Co. Galway",6.7,5.7,17.2,5.9,19.9,29.7,14.8,4.9,4.9,35921,37164,55050
44,318,"113 Grange, Co. Galway",7.7,5.4,15,12.7,16.4,22.6,20.3,7.9,12.8,25960,35356,51790
63,423,"114 Greethill, Co. Galway",2.8,4.1,12,12.2,18.2,37.2,13.5,5,11.3,36107,52854,62876
18,127,"115 Kilchreest, Co. Galway",10.2,8.7,10.6,10.8,14.5,29.1,16.1,6.8,21.4,24923,33852,45271
48,263,"116 Kilconickny, Co. Galway",4.6,7,10.3,13.9,15.1,32.5,16.7,4.4,14.8,32050,39362,54025
35,266,"117 Kilconierin, Co. Galway",4.9,6.2,12.2,10.9,13,30.5,22.3,7.5,13,36106,38426,53560
15,154,"118 Killimor, Co. Galway",6.9,4.4,13.3,6.8,21.7,25.8,21.2,4.2,18.5,30038,30733,48438
74,388,"119 Killogilleen, Co. Galway",5.3,7.4,12.8,12.6,15.9,32.5,13.5,6,8.7,35426,41560,58860
53,281,"120 Kilmeen, Co. Galway",8.4,6.8,16.1,7.3,19.8,25.7,16.0,6.1,18.2,28670,33512,51586
28,138,"121 Kilreekill, Co. Galway",9.3,4.9,11.5,12.5,14.1,32.9,14.8,4.5,12.6,31910,39139,55640
28,169,"122 Kilteskill, Co. Galway",7,8.5,10.6,10.3,10.2,38.1,15.3,4.5,8.9,31711,37682,54820
41,326,"123 Kiltullagh, Co. Galway",4.8,5.3,8.2,13.1,18.6,28.4,21.6,4.7,11.1,31984,36273,57865
25,162,"124 Lackalea, Co. Galway",6.9,5.2,12.1,7.1,10.2,37.5,20.9,6.4,7.3,33064,56246,60192
43,211,"125 Leitrim, Co. Galway",6.3,10.2,12,9.7,11.5,31.6,18.6,8.4,10.3,26805,38482,51361
59,350,"127 Loughrea Rural, Co. Galway",6.4,6.5,12.6,12.4,15.5,31.1,15.6,8.7,14.9,33867,43708,50667
331,"2,270","128 Loughrea Urban, Co. Galway",1.1,4.7,13.8,14,15.7,30.7,20.0,19.1,12,27044,35427,36084
24,129,"130 Mountain, Co. Galway",5.6,9.8,13.9,10.1,18.9,21.3,20.4,11.6,8.4,22112,37572,51239
16,104,"131 Movode, Co. Galway",7.4,7.7,15.2,16.1,15,20.3,18.4,3.7,16,28822,42864,44906
34,232,"132 Raford, Co. Galway",5.2,6.8,9.2,13.2,17.6,22.8,25.2,5.8,12.9,32646,33460,46703
58,304,"133 Tiaquin, Co. Galway",4.6,6.5,16.5,10.1,16.7,26.9,18.7,8.1,10.3,33257,42374,55019
25,172,"134 Woodford, Co. Galway",6.7,7,12,9,14.9,30.8,19.6,14.5,21.8,18373,31178,33942
14,149,"135 Annagh, Co. Galway",9.8,7,12,4.9,16.3,31.5,18.6,7.9,22,27693,33738,43249
37,233,"136 Ballynakill, Co. Galway",7.1,9.6,10,5.1,17.2,36.2,14.9,11.2,22.4,26492,36358,43492
26,155,"137 Caltra, Co. Galway",6.3,8.8,10.3,4.9,19.1,39.8,10.8,5.2,19.3,24802,41802,47184
29,212,"138 Castleblakeney, Co. Galway",6,6,14.1,9.7,11.1,39.5,13.6,13.3,18.2,28415,34027,44604
33,196,"139 Castleffrench, Co. Galway",7.9,8.2,19.9,2.2,18.4,27.1,16.3,8,21,28120,44110,42852
32,254,"140 Clonbrock, Co. Galway",8.1,9.7,8.9,6.7,16.1,36.1,14.4,10.3,13.3,26820,35792,48921
10,119,"141 Cloonkeen, Co. Galway",7.3,5.4,7.3,8.7,17.1,39.8,14.4,9.7,30.1,34486,41184,34552
31,241,"142 Cooloo, Co. Galway",12.7,6.7,10.3,3.3,16.9,31.5,18.5,9.6,15.2,24495,37453,51034
53,384,"143 Derryglassaun, Co. Galway",7.5,6.4,14.4,8.6,12.4,33.1,17.6,8.3,20.1,27368,36280,46078
101,521,"144 Killeroran, Co. Galway",4.7,7.8,9.7,7,13.2,38.8,18.8,12.6,17.2,26606,36550,40134
21,139,"145 Killian, Co. Galway",7.3,9.9,11.8,3.3,17.1,34.8,15.8,14.9,19,29441,37951,37964
118,846,"146 Mount Bellew, Co. Galway",5.1,5.8,12.1,7.2,12.6,39.2,18.0,10.9,11.6,26404,37800,47181
28,212,"147 Mounthazel, Co. Galway",7.6,8.4,9.8,7.3,18.7,28.5,19.8,11.7,23.9,24645,37065,40544
16,105,"148 Taghboy, Co. Galway",7.3,8.5,9,12.8,18.2,29.0,15.3,8.2,15.1,33540,43166,58335
19,101,"149 Camas, Co. Galway",6,8.2,8.1,16.4,16.7,30.2,14.4,24.5,25.5,28034,25462,30554
66,429,"150 An Fhairche, Co. Galway",6.8,6.7,12.1,9.8,11.2,30.5,22.9,13,23,24616,36532,37683
32,195,"151 Conga, Co. Galway",9.2,5.9,6.2,10.7,21.6,32.2,14.2,7.6,29.7,32269,38963,36034
120,836,"152 An Crompán, Co. Galway",1.4,4.9,8,16.9,10.6,43.6,14.5,23,19.5,26414,31621,32629
11,63,"153 An Chorr, Co. Galway",15.6,1.7,12.1,6.9,13.8,33.3,16.5,10.5,17.5,27108,24311,45646
41,373,"154 Garmna, Co. Galway",7.1,10.6,7.6,11.5,9.4,40.9,13.1,28.1,22,19253,26671,26410
11,65,"155 Cill Chuimín, Co. Galway",10,15.5,18.4,10.6,2.6,28.0,14.8,16,18,27349,47302,42615
9,96,"156 Leitir Breacáin, Co. Galway",14.7,1.2,10.8,7.5,7.4,26.6,31.9,9.8,20.7,20480,43294,38835
17,99,"157 Letterfore, Co. Galway",11.2,10.7,9.2,15.5,10.4,23.1,20.0,14.1,18.5,25525,32793,38255
16,247,"158 Leitir Móir, Co. Galway",3.9,7.6,10.8,10.2,14.7,36.4,16.6,26.2,21.9,22756,25206,28934
169,"1,037","159 Oughterard, Co. Galway",1.8,5.5,10.7,12.5,8.8,41.6,18.9,14.2,14.9,23941,37061,38920
3,33,"160 An Ros, Co. Galway",15.9,0.5,13,11.4,19.1,24.2,15.9,11.8,17.6,..,..,36745
17,167,"161 An Turlach, Co. Galway",5.2,12.6,8.1,10.6,12.8,39.9,10.9,25.9,26.4,20248,27678,28637
151,"1,003","162 Wormhole, Co. Galway",1.5,6,13.3,11.6,11.6,38.2,17.8,8.6,11.8,29878,39473,54316
21,120,"163 Abbeyville, Co. Galway",21.2,2.4,6.8,16.2,11.6,26.9,14.8,7.1,28.6,29272,30170,37231
8,69,"164 Ballyglass, Co. Galway",14.7,8.8,9.3,10.6,13.5,31.2,11.8,10.2,20.3,26083,44500,48443
6,38,"165 Coos, Co. Galway",22.9,1.3,10.9,2.6,13.1,27.7,21.6,16.7,29.2,..,..,23725
7,72,"166 Derrew, Co. Galway",20.5,11.9,10.6,3.2,13.7,22.9,17.1,8.9,19.6,..,..,46747
23,152,"167 Drummin, Co. Galway",15.4,8.7,7.2,9.9,8.7,31.2,19.0,7.6,19.8,22674,35268,45715
31,144,"168 Eyrecourt, Co. Galway",10.7,7.5,9.6,8.7,12.8,32.7,18.0,19.7,28.1,21973,40309,31484
38,273,"169 Killimor, Co. Galway",15.2,10.6,10.9,6.7,13.4,27.7,15.5,13.1,17.1,26041,33441,37700
8,101,"170 Kilmalinoge, Co. Galway",20.4,3.2,9.8,8.6,16.1,28.1,13.8,11.6,23.3,29313,40742,45909
23,124,"171 Kilquain, Co. Galway",22.4,9.1,13.1,5.9,13.5,24.9,11.2,15.2,20,26532,41364,40554
14,102,"172 Meelick, Co. Galway",17.4,4,10,9.7,15.3,29.3,14.2,5.7,22.7,25514,35053,42697
11,62,"173 Moat, Co. Galway",18.4,12.6,10.4,1.8,14.7,27.3,14.8,2,24,28544,35817,41174
23,159,"174 Pallas, Co. Galway",10.8,6.9,15.5,10.5,13.5,29.6,13.2,7.4,26.7,28777,35082,37924
132,843,"175 Portumna, Co. Galway",4.7,4.1,10.3,8.5,16.9,36.5,19.0,18.9,19.2,22628,40719,32246
14,68,"176 Tiranascragh, Co. Galway",11.7,13,11.1,6.5,9.4,30.5,17.9,13.1,24.6,29282,31429,36317
22,170,"177 Tynagh, Co. Galway",10.1,5.2,9.1,12.3,17.8,29.3,16.1,15.3,17.2,26521,35225,37493
37,266,"178 Abbey East, Co. Galway",5.4,9.6,17.4,11.5,14.7,21.6,19.8,8.6,21.7,24763,34397,46689
49,340,"179 Abbey West, Co. Galway",5.1,7.1,15.9,10.3,18.7,24.8,18.0,10.1,12.8,30638,36231,51120
41,213,"180 Addergoole, Co. Galway",7.2,7,18.5,7.7,14.8,29.3,15.5,12.7,28.4,23964,34724,33111
96,612,"181 Annaghdown, Co. Galway",2.5,5.8,19.1,8.9,18.2,28.8,16.7,10.4,13.1,29917,34408,50348
33,219,"182 Ballinderry, Co. Galway",3.4,8.1,15.6,7.1,21.7,25.1,19.0,7.6,10.2,29228,35405,55728
53,294,"183 Ballinduff, Co. Galway",2.7,6.7,9.5,12.2,13.7,36.9,18.3,6.5,15.2,33431,41180,52069
66,430,"184 Ballynapark, Co. Galway",4.1,6.6,14.2,6.6,22.7,28.7,17.2,9.6,14.4,32338,34943,49297
19,158,"185 Beaghmore, Co. Galway",3.6,7.1,19.7,8.6,15.9,22.9,22.3,14.4,9.3,27475,28385,41242
57,332,"186 Belclare, Co. Galway",4.8,7.5,12.5,6.6,21.8,27.6,19.2,5.9,15.7,27035,34506,52720
23,179,"187 Carrownagur, Co. Galway",9.9,7.6,11.3,8.1,16.3,35.0,11.8,10.6,22.5,27308,39942,45910
25,170,"188 Carrowrevagh, Co. Galway",7.2,9,14.3,8.8,21.3,22.1,17.3,8.2,19.9,29762,37684,45667
50,471,"189 Claretuam, Co. Galway",4.6,6.2,18.3,8.3,16.2,28.3,18.1,5.2,13.7,29717,37181,52342
13,165,"190 Clonbern, Co. Galway",11.5,7.8,13.6,5.8,16.7,26.8,17.8,9.8,18,22294,41132,44734
21,151,"191 Cloonkeen, Co. Galway",11.6,9,10.4,1.5,19.8,31.2,16.5,9,29.9,29849,35254,34419
76,490,"192 Cummer, Co. Galway",4.1,5.9,16.4,5.3,22.4,28.2,17.7,5.4,11.1,31182,37651,58535
24,226,"193 Donaghpatrick, Co. Galway",7.3,9.3,12.2,9.9,13.8,27.6,19.9,8.1,17.8,27919,29620,43304
41,255,"194 Doonbally, Co. Galway",6.4,8.1,14.8,8.6,16.2,30.7,15.2,7.8,20.5,31648,37794,42962
46,216,"195 Dunmore North, Co. Galway",6.6,8.2,12.5,7.7,19.8,28.3,16.9,14.7,16.7,25375,39346,40025
55,316,"196 Dunmore South, Co. Galway",4.7,7.2,11.1,8,16.6,29.7,22.7,11,22.6,21716,37464,33425
31,258,"197 Foxhall, Co. Galway",10,5.8,10.1,7.4,14,32.6,20.1,8.4,24.2,25433,38000,42585
79,651,"198 Headford, Co. Galway",3.4,4.8,13.7,10.8,13.7,32.6,20.9,12.4,13.1,30360,37645,41824
48,287,"199 Hillsbrook, Co. Galway",8.4,6.9,14.5,4,24.9,23.5,17.8,7.3,18.6,28842,31639,49762
16,137,"200 Kilbennan, Co. Galway",9.4,9.9,16.2,6.4,15.3,30.0,12.8,12.8,23.2,28855,30901,39349
37,267,"201 Kilcoona, Co. Galway",6.4,6.2,19.1,8,14.4,26.4,19.4,8.5,17.1,32488,34290,52111
37,271,"202 Killeany, Co. Galway",4.8,6.9,14.5,9.8,13.8,33.6,16.7,7.6,11.1,31425,34237,49846
49,299,"203 Killeen, Co. Galway",5.4,7.7,12.4,4.8,17.9,34.6,17.3,7.1,15,28421,38032,57833
51,349,"204 Killererin, Co. Galway",7.9,6.5,14.4,8.2,14.9,27.6,20.4,8.7,13.1,23756,34610,55019
55,390,"205 Killower, Co. Galway",6.3,4.5,11,13.6,19.4,25.7,19.5,9.7,8.6,31800,39000,54673
60,457,"206 Killursa, Co. Galway",6.6,7.7,10,11.1,15,31.8,17.9,9.9,13.8,27496,33423,43173
71,453,"207 Kilmoylan, Co. Galway",3.8,7.5,16.2,9.6,17.5,24.0,21.5,6.5,12.1,30528,43044,52115
26,183,"208 Kilshanvy, Co. Galway",12.1,10.5,10.3,6.8,21.4,20.9,18.0,11.1,14.3,23356,33124,42143
24,142,"209 Levally, Co. Galway",7.6,9.3,15.5,7.3,23.4,23.8,13.1,8.7,26.2,27677,36610,40425
34,266,"210 Milltown, Co. Galway",6.2,6.7,11,9.7,14.8,38.6,13.0,12.1,21.4,29125,37519,39407
48,311,"211 Monivea, Co. Galway",5,5.9,13.2,15,16,29.8,15.0,11.6,12.9,28803,36443,51536
44,280,"212 Moyne, Co. Galway",7,8.4,10.3,7.8,19,29.0,18.4,10.4,17.1,24398,34711,48205
64,371,"213 Ryehill, Co. Galway",3.7,10.8,15.3,11.4,17.8,24.9,16.1,5.3,12.6,27692,34441,52384
28,146,"214 Toberadosh, Co. Galway",9.5,9.3,15.2,11.3,16.3,25.1,13.2,8.3,28,18734,33389,31774
387,"2,387","215 Tuam Rural, Co. Galway",1,3.7,14.1,8.7,26.2,26.5,19.7,19.6,10.8,27637,36693,39630
215,"1,215","216 Tuam Urban, Co. Galway",0.9,2.8,14,8.2,26.6,25.5,21.9,24.7,18.5,25901,31288,30167
50,426,"001 Ballinamore, Co. Leitrim",3.4,5.6,10.3,5.7,10.9,45.6,18.6,17.3,15.9,26233,34899,34773
11,109,"002 Cloverhill, Co. Leitrim",9.5,5.3,16.7,7.9,12.7,31.6,16.2,23.3,18.1,26719,37500,30931
16,92,"003 Corrala, Co. Leitrim",12.4,9.6,10.9,3.1,16.6,25.3,22.0,13.3,19.3,19462,34837,37074
12,67,"004 Drumreilly North, Co. Leitrim",12.8,3.5,10.8,11.4,15,31.1,15.4,19.4,22.6,34844,41788,37748
7,52,"005 Drumreilly South, Co. Leitrim",9.4,10.8,12.8,1.1,19.6,24.0,22.4,21.7,30,..,..,24490
32,195,"006 Garadice, Co. Leitrim",8.7,9.3,7.6,8.5,18,32.3,15.6,25.9,20.1,23660,35611,28571
5,48,"008 Killygar, Co. Leitrim",22.8,3.3,16.3,1.2,11.3,24.4,20.7,8.5,27.7,..,..,38106
13,109,"009 Newtowngore, Co. Leitrim",21.9,8.5,10.5,2,16.8,24.2,16.1,27.2,17.4,..,..,30382
5,36,"010 Oughteragh, Co. Leitrim",9.2,22,12.2,1.4,15.3,22.8,17.0,18.4,28.9,..,..,24913
4,36,"012 Aghacashel, Co. Leitrim",4.7,3,16.1,..,4.4,41.7,30.2,7.7,7.7,21086,28982,42309
19,107,"013 Annaduff, Co. Leitrim",7.2,4.6,10.7,11.3,14.8,36.3,15.1,4.7,19.8,31119,47455,36836
10,54,"014 Barnameenagh, Co. Leitrim",15.2,11.4,14.2,8.3,4,25.0,22.0,24.1,24.1,..,..,35304
228,"1,716","015 Carrick-on-Shannon, Co. Leitrim",1.3,3,9.7,9.1,14.8,36.9,25.2,19.8,10.4,22999,43253,33947
79,513,"018 Drumshanbo, Co. Leitrim",4.1,6.9,11.9,6,12.3,34.7,24.1,20.5,16.9,21952,34126,33227
36,280,"019 Drumsna, Co. Leitrim",4.3,6.2,9.1,8,15.4,37.8,19.1,18.3,20.2,26725,45519,35874
18,101,"020 Gortnagullion, Co. Leitrim",8.9,3.1,12.5,11.2,9.9,38.1,16.2,15.8,22.8,33996,39984,38412
24,149,"021 Gowel, Co. Leitrim",5.5,5.3,13.6,11.6,11.6,34.9,17.4,4,16.1,32645,43062,47333
39,161,"022 Keshcarrigan, Co. Leitrim",3.8,8.8,11,9.9,11.4,34.3,20.7,22.8,13.2,26213,36586,35140
7,63,"023 Kiltubbrid, Co. Leitrim",9.1,9,10.8,5.5,13.4,37.8,14.5,13.2,17,..,..,34091
81,503,"024 Leitrim, Co. Leitrim",2.9,5.9,10.7,8.6,8.4,48.3,15.1,12.2,14.2,27499,48201,45413
11,102,"025 Moher, Co. Leitrim",11.5,11,8.7,13.5,6.3,34.7,14.4,18.3,13.4,20081,27068,33655
10,89,"026 Yugan, Co. Leitrim",12,8,10.1,10.1,10.9,34.5,14.4,20.2,27.7,17681,34798,25014
44,268,"030 Gubacreeny, Co. Leitrim",3.4,5.7,6.8,11.1,9.9,46.3,16.7,24.4,14,25249,35411,35536
44,333,"031 Kinlough, Co. Leitrim",4.8,6.2,7.7,8.9,7.2,41.8,23.3,22,15.3,21525,34283,32954
33,255,"033 Tullaghan, Co. Leitrim",4.9,5.7,14.4,12.5,10.7,36.2,15.5,18.1,18.9,25468,37107,33983
10,81,"035 Ballaghameehan, Co. Leitrim",12.9,7.5,10.4,12.4,12,31.0,13.8,22.1,22.1,30249,30744,31528
16,90,"036 Belhavel, Co. Leitrim",7.2,11.6,8.4,6.5,10.1,43.1,13.0,21.2,17.3,..,..,32743
15,76,"037 Cloonclare, Co. Leitrim",10,8.1,10.3,3.1,13.8,38.5,16.4,25.4,22.4,..,..,27063
18,135,"038 Cloonlogher, Co. Leitrim",6.6,6.2,11.9,11.2,15.6,34.9,13.6,17.5,17.5,29130,35051,34662
95,625,"039 Drumahaire, Co. Leitrim",2.5,4.3,9,7.7,11.9,51.0,13.6,12.1,16.8,30909,41450,39659
24,160,"040 Drumkeeran, Co. Leitrim",7.5,5.7,8.2,7.4,14.2,42.0,15.0,20.2,23.4,27985,33491,31531
6,61,"042 Glenade, Co. Leitrim",8.8,1.5,10.4,13.4,12.5,41.8,11.6,23,18,..,..,30517
11,62,"043 Glenaniff, Co. Leitrim",13.5,5.2,9.4,4.4,11.5,35.0,21.1,13.3,35,..,..,30132
17,119,"044 Glenboy, Co. Leitrim",9.6,5,13.4,8.2,10.1,41.5,12.2,11.9,7.1,33547,33999,48650
16,117,"045 Glencar, Co. Leitrim",12.4,7.1,13.3,6.1,8.4,39.4,13.3,7.7,16.5,..,..,45876
6,40,"046 Glenfarn, Co. Leitrim",12.7,2,13.4,2.7,19.1,31.7,18.4,11.6,27.9,..,..,35437
26,149,"047 Killanummery, Co. Leitrim",1.9,7.1,7.2,6.7,14.5,48.2,14.5,10.7,17.6,31251,33898,37464
1,25,"048 Killarga, Co. Leitrim",21.8,17,0.2,..,4.5,31.9,24.7,11.5,26.9,..,..,34555
10,60,"049 Kiltyclogher, Co. Leitrim",11.9,9.3,8.5,22.2,8.3,21.1,18.6,26.8,29.9,..,..,20534
26,181,"050 Lurganboy, Co. Leitrim",6.8,2.9,11.2,8.6,13.4,39.5,17.6,11.9,16.6,30681,32865,39945
10,87,"051 Mahanagh, Co. Leitrim",12.1,11.7,10.8,1.3,9.5,39.7,14.8,24,20.8,30558,36581,33549
94,741,"052 Manorhamilton, Co. Leitrim",5,3.7,10.6,7.1,14.1,49.0,10.4,18.1,16.3,29660,36798,34128
8,71,"053 Munakill, Co. Leitrim",12.3,11.3,7.8,8.2,13.2,36.3,11.0,14.1,20.3,26574,36269,38813
26,171,"054 Sramore, Co. Leitrim",6,5.5,8.2,10,16,40.9,13.4,15.2,10.9,34813,27833,51148
8,58,"055 St. Patrick's, Co. Leitrim",11.1,1.8,13.7,2.5,15.3,45.6,9.9,18.9,7.5,..,..,49888
25,126,"056 Aghavas, Co. Leitrim",9,10.9,14.6,2,17.4,30.2,15.8,13,22,23316,32444,36992
20,135,"057 Beihy, Co. Leitrim",9.4,7.9,7.6,3.4,16.3,35.1,20.2,12.7,22,22971,26640,37593
30,111,"058 Breandrum, Co. Leitrim",6.6,7,12.6,4.8,10.1,36.1,22.8,22.3,22.3,23015,37979,30560
5,61,"059 Bunnybeg, Co. Leitrim",10,7.7,11.1,9.3,10.3,36.7,14.8,8.8,28.1,20044,41077,32469
18,106,"060 Carrigallen East, Co. Leitrim",17.2,2.6,7,11.4,15.8,22.4,23.6,27.2,21.9,..,..,27181
39,206,"061 Carrigallen West, Co. Leitrim",9.2,10.5,9.7,5.9,15.2,31.7,17.8,23.4,12.2,19678,32136,32557
10,71,"062 Cashel, Co. Leitrim",11.4,7.1,8.3,5.4,21.5,36.5,9.7,11.8,20.6,..,..,40878
22,92,"063 Castlefore, Co. Leitrim",6.1,8.5,8.9,12.7,20.1,30.2,13.5,11,22,34588,45754,38198
15,92,"064 Cattan, Co. Leitrim",9.7,16.3,9.7,6.5,9.8,36.1,11.9,20,21.1,29586,31054,35550
22,134,"065 Cloone, Co. Leitrim",10.2,6.9,9.5,6.6,12.2,33.7,20.9,14.6,26.9,27605,35683,37095
12,63,"066 Corriga, Co. Leitrim",11,8.6,13.8,8.4,11.8,29.3,17.0,15.5,24.1,23035,40186,25878
15,101,"067 Drumard, Co. Leitrim",7,7.7,8.3,3.6,17.7,33.8,22.0,13.9,13.9,27692,41571,50030
20,110,"068 Drumdoo, Co. Leitrim",8.9,9.8,12.5,2.5,11.2,38.5,16.7,18.9,22.6,23892,32265,37075
61,353,"069 Drumod, Co. Leitrim",5.4,5.9,14.2,11,13.3,33.5,16.7,14.9,11.7,27285,44235,41125
27,147,"070 Fenagh, Co. Leitrim",9.6,8.3,11.1,10.1,10.3,35.4,15.3,9.4,26.1,29823,35479,39358
21,124,"071 Gortermone, Co. Leitrim",17.9,7.7,12.5,5.1,13.8,30.4,12.6,9.2,22.4,21671,28329,41871
9,79,"072 Keeldra, Co. Leitrim",8.4,8.9,10.2,7,17.5,36.9,11.1,14.9,20.9,24904,41507,40971
14,78,"073 Lisgillock, Co. Leitrim",7.3,11.5,8.9,8.7,21.2,24.7,17.8,15.9,21.7,..,..,35896
58,432,"074 Mohill, Co. Leitrim",4.6,4.7,9.2,7,9.6,42.9,22.0,23.5,24.3,22303,36092,26468
21,156,"075 Rinn, Co. Leitrim",8.7,5.4,13.1,6.7,16.8,32.7,16.6,19.4,18.5,24017,31433,38372
11,85,"076 Riverstown, Co. Leitrim",9.6,7.6,15.2,5.6,12.3,32.2,17.5,15.8,28.4,24042,42860,30635
49,250,"077 Roosky, Co. Leitrim",4.1,10.6,14.5,7.2,13.8,32.0,17.8,15.1,20.1,26520,34931,34931
18,82,"078 Rowan, Co. Leitrim",9.1,10.7,10.5,0.6,17.6,33.7,17.8,19.3,21.7,..,..,31690
81,716,"001 Ardnaree South Urban, Co. Mayo",1.3,3.1,11.7,7.9,17.6,28.9,29.7,31.8,15.1,20590,33771,28010
197,"1,363","002 Ballina Urban, Co. Mayo",1.1,3.4,8.8,6.9,19.9,30.9,29.0,28.1,17.7,23796,34116,28451
314,"2,134","003 Castlebar Urban, Co. Mayo",0.9,3.4,8.5,7.7,12,45.5,21.9,26.1,11.2,24692,42510,31124
387,"2,516","004 Westport Urban, Co. Mayo",0.9,2.9,6.9,9.5,23.1,26.9,29.7,14.8,13.7,24440,37230,36238
29,157,"005 Ardagh, Co. Mayo",8.4,7.9,11.5,5.4,19.3,29.2,18.2,6.4,18.4,26812,37427,48933
23,129,"008 Attymass East, Co. Mayo",5.6,9.3,7.3,7.2,24.3,28.4,17.9,18.9,26.6,26099,38449,30116
13,95,"009 Attymass West, Co. Mayo",6.2,7.9,8.7,12.2,22.2,21.5,21.2,10.1,24.7,..,..,34908
25,210,"011 Ballycastle, Co. Mayo",12,9.4,11.7,7.6,11,31.0,17.3,17.3,30.3,21464,35118,26009
42,241,"012 Ballysakeery, Co. Mayo",7.1,6.6,8.1,6.4,23.2,30.0,18.6,16.4,16.4,27277,38554,45725
4,57,"013 Béal Deirg Mór, Co. Mayo",23.7,11.8,16.4,3.3,8.6,18.9,17.3,26.2,19.7,17320,17287,32980
0,28,"014 Bunaveela, Co. Mayo",26.5,0.5,14.9,0.8,34.6,20.6,2.1,27.3,24.2,..,..,25271
64,369,"015 Carrowmore, Co. Mayo",3.4,7.7,9.5,9.8,20.4,27.9,21.3,10.2,17.9,31334,37150,46297
77,431,"016 Crossmolina North, Co. Mayo",5.4,6.1,11.1,6.3,28.8,30.2,12.0,15.4,23.3,27228,41049,32530
