"Proportion of earned income sectors by Year, Electoral Division and"
"statistical indicator"

" "," ","Agriculture, Forestry and Fishing (A) (%)","Construction (F) (%)","Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)"
"2016"
" ","006 Clondalkin-Dunawley, South Dublin",0.2,5.4,17.4,11.0,10.3,24.4,31.3
" ","007 Clondalkin-Monastery, South Dublin",0.2,5.1,19.0,13.5,11.6,22.9,27.6
" ","008 Clondalkin-Moorfield, South Dublin",0.3,6.1,18.6,10.4,9.5,25.3,29.8
" ","009 Clondalkin-Rowlagh, South Dublin",..,8.8,15.6,10.2,8.6,24.2,32.5
" ","010 Clondalkin Village, South Dublin",0.2,5.2,18.3,14.7,10.9,24.1,26.6
" ","011 Edmondstown, South Dublin",0.3,4.0,20.6,21.1,5.1,27.8,21.0
" ","012 Firhouse-Ballycullen, South Dublin",0.3,3.6,23.7,22.3,6.6,25.2,18.4
" ","013 Firhouse-Knocklyon, South Dublin",0.5,3.5,22.4,22.2,6.7,29.5,15.3
" ","014 Firhouse Village, South Dublin",0.2,5.0,21.0,19.3,6.4,28.6,19.5
" ","015 Lucan-Esker, South Dublin",0.1,4.7,18.0,16.4,8.8,31.1,21.0
" ","016 Lucan Heights, South Dublin",0.2,4.3,17.6,16.5,8.4,35.4,17.5
" ","017 Lucan-St. Helen's, South Dublin",0.2,3.8,17.5,16.6,8.2,32.4,21.4
" ","018 Newcastle, South Dublin",1.0,5.4,16.9,14.7,10.2,25.2,26.6
" ","019 Palmerston Village, South Dublin",0.2,5.3,14.8,12.9,8.8,34.8,23.3
" ","020 Palmerston West, South Dublin",0.3,5.2,15.3,13.3,8.6,30.7,26.6
" ","021 Rathcoole, South Dublin",0.5,5.9,18.6,16.9,9.0,24.8,24.4
" ","022 Rathfarnham-Ballyroan, South Dublin",0.6,4.2,21.1,20.6,7.5,31.2,14.9
" ","023 Rathfarnham-Butterfield, South Dublin",..,3.0,24.2,25.0,6.5,27.6,13.7
" ","024 Rathfarnham-Hermitage, South Dublin",0.2,2.2,23.5,25.4,5.3,29.4,14.0
" ","025 Rathfarnham-St. Enda's, South Dublin",0.3,2.9,22.4,22.6,5.9,32.4,13.5
" ","026 Rathfarnham Village, South Dublin",0.3,3.0,20.2,27.0,6.2,28.6,14.6
" ","027 Saggart, South Dublin",0.6,6.1,17.0,22.2,9.7,19.2,25.3
" ","028 Tallaght-Avonbeg, South Dublin",..,6.2,14.4,10.9,8.2,27.7,32.7
" ","029 Tallaght-Belgard, South Dublin",..,5.6,19.5,15.9,8.8,24.7,25.5
" ","030 Tallaght-Fettercairn, South Dublin",0.3,4.9,19.1,12.5,7.9,25.1,30.2
" ","031 Tallaght-Glenview, South Dublin",..,4.3,18.1,16.4,8.9,22.0,30.3
" ","032 Tallaght-Jobstown, South Dublin",0.2,5.9,18.7,16.5,8.4,23.4,26.9
" ","033 Tallaght-Killinardan, South Dublin",0.1,11.9,18.7,9.9,7.7,19.5,32.2
" ","034 Tallaght-Kilnamanagh, South Dublin",0.4,7.3,16.1,13.7,10.0,26.2,26.3
" ","035 Tallaght-Kiltipper, South Dublin",0.3,6.3,17.7,12.8,8.6,28.0,26.3
" ","036 Tallaght-Kingswood, South Dublin",0.3,5.8,19.2,15.3,10.1,25.7,23.5
" ","037 Tallaght-Millbrook, South Dublin",..,6.9,16.7,13.0,10.9,26.8,25.7
" ","038 Tallaght-Oldbawn, South Dublin",0.4,6.4,17.4,14.9,11.7,26.8,22.4
" ","039 Tallaght-Springfield, South Dublin",0.1,4.4,21.0,13.7,9.1,26.2,25.5
" ","040 Tallaght-Tymon, South Dublin",0.4,6.2,17.1,14.5,9.8,23.9,28.1
" ","041 Templeogue-Cypress, South Dublin",0.4,3.3,24.1,22.9,7.4,28.9,13.0
" ","042 Templeogue-Kimmage Manor, South Dublin",0.3,3.1,25.3,26.2,5.2,28.3,11.7
