Electoral Division,Highest Education Level,Total Hours Worked
017 Durrow,74,565
018 Dysartgallen,12,102
019 Fossy,9,71
020 Grantstown,23,183
021 Kilcoke,6,70
022 Kildellig,14,117
023 Killermogh,11,149
024 Kilnaseer,20,136
025 Raheen,30,200
026 Rathdowney,61,454
027 Timahoe,44,281
028 Ballyadams,21,170
029 Ballylynan,86,580
030 Barrowhouse,26,191
031 Curraclone,10,97
032 Killabban,29,203
033 Luggacurren,15,131
034 Moyanna,23,175
035 Rathaspick,19,99
036 Stradbally,68,673
037 Tankardstown,20,137
038 Timogue,23,155
039 Vicarstown,15,84
040 Arderin,17,110
041 Ballybrittas,79,545
042 Ballycarroll,22,159
043 Ballyfin,40,276
044 Borris,89,619
046 Brisha / Capard,15,139
047 Cappalough,23,146
048 Cardtown,10,80
049 Castlecuffe,20,155
050 Clonaslee,35,335
051 Clondarrig,113,778
052 Clonin,8,99
053 Coolrain,17,105
054 Dangans,66,509
055 Emo,81,436
056 Garrymore,16,86
057 Graigue,15,66
058 Jamestown,32,198
059 Kilcolmanbane,41,272
060 Kilmullen,42,234
061 Kilmurry,14,112
062 Lacka,12,116
063 Marymount,11,63
064 Meelick,17,153
065 Mountmellick Rural,65,418
066 Mountmellick Urban,131,"1,020"
067 Mountrath,113,850
068 Nealstown,5,42
069 O'More's Forest,41,190
070 Portarlington South,399,"2,695"
071 Portlaoighise (Maryborough) Rural,720,"6,254"
072 Portlaoighise (Maryborough) Urban,197,"1,461"
073 Rearymore,10,110
074 Rosenallis,24,181
075 Sallyford,28,241
076 Shaen,61,398
077 Tinnahinch,8,72
078 Trumra,14,100
079 Ballybrophy,13,77
080 Borris-in-Ossory,28,314
081 Clonmore,12,85
082 Errill,15,165
083 Kyle,12,93
084 Kyle South,21,118
085 Moneenalassa,7,72
086 Moneymore,7,57
087 Rathsaran,28,236
088 Ardough,24,148
089 Arless,15,147
090 Ballickmoyler,34,261
091 Ballylehane,6,63
092 Doonane,30,256
093 Farnans,10,84
094 Graigue Rural,315,"1,950"
095 Newtown,22,120
096 Rossmore,41,180
097 Shrule,9,120
098 Turra,22,160
001 Longford No. 1 Urban,149,"1,008"
002 Longford No. 2 Urban,60,456
003 Agharra,28,150
004 Ballymahon,177,"1,030"
005 Cashel East,19,126
006 Cashel West,26,247
007 Doory,23,192
008 Forgney,34,203
009 Foxhall,18,175
010 Kilcommock,52,377
011 Kilglass,35,278
012 Ledwithstown,22,138
013 Abbeylara,21,123
014 Ballinalee,29,219
015 Ballymuigh,12,97
016 Bunlahy,8,81
017 Columbkille,25,250
018 Coolamber,26,158
019 Creevy,21,143
020 Crosagstown,18,102
021 Currygrane,7,57
022 Dalystown,6,74
023 Drummeel,4,42
035 Firry / Newgrove,9,67
025 Gelshagh,19,147
026 Granard Rural,9,123
027 Granard Urban,42,400
028 Knockanbaun,8,65
029 Lislea,5,47
030 Meathas Truim,115,791
031 Milltown,21,141
032 Moatfarrell,10,82
033 Moyne,17,124
034 Mullanalaghta,18,115
036 Sonnagh,17,91
037 Aghaboy,25,253
038 Ardagh East,29,268
039 Ardagh West,27,192
040 Ballinamuck East,35,239
041 Ballinamuck West,27,173
042 Breanrisk,42,314
043 Caldragh,121,889
044 Cloondara,44,236
045 Cloonee,53,299
046 Corboy,19,153
047 Drumgort,27,167
048 Drumlish,80,572
049 Killashee,19,179
050 Killoe,8,96
051 Longford Rural,262,"1,800"
052 Mountdavis,17,103
053 Moydow,50,321
054 Newtown Forbes,47,342
055 Rathcline,100,560
001 Fair Gate,481,"3,877"
002 St. Laurence Gate,208,"1,751"
003 West Gate,305,"2,392"
004 Dundalk Urban No. 1,81,763
005 Dundalk Urban No. 2,54,423
006 Dundalk Urban No. 3,92,670
007 Dundalk Urban No. 4,336,"2,523"
008 Ardee Rural,198,"1,178"
009 Ardee Urban,302,"1,816"
010 Castlebellingham,114,696
011 Clonkeen,47,311
012 Collon,120,792
013 Dromin,47,260
014 Dromiskin,160,917
015 Drumcar,91,559
016 Dunleer,193,"1,163"
017 Stabannan,46,259
018 Tallanstown,76,454
019 Ballymascanlan,171,860
020 Barronstown,57,292
021 Carlingford,128,778
022 Castlering,71,437
023 Castletown,208,"1,425"
024 Creggan Upper,67,326
025 Darver,44,313
026 Drummullagh,78,465
027 Dundalk Rural,799,"6,532"
028 Faughart,69,392
029 Greenore,77,486
030 Haggardstown,419,"2,849"
031 Jenkinstown,78,482
032 Killanny,55,340
033 Louth,100,626
034 Mansfieldstown,55,356
035 Rathcor,89,544
036 Ravensdale,77,384
037 Clogher,234,"1,323"
038 Dysart,72,398
039 Monasterboice,112,599
040 Mullary,125,757
041 St. Peter's,524,"3,774"
042 Termonfeckin,235,"1,471"
047 St. Mary's (Part Urban),293,"2,699"
001 Ceannanus Mór (Kells) Urban,115,704
002 Navan Urban,215,"1,580"
003 Trim Urban,80,592
004 Drumcondra,76,526
005 Grangegeeth,41,264
006 Killary,85,536
007 Culmullin,105,496
008 Donaghmore,775,"5,569"
009 Dunboyne,656,"4,643"
010 Dunshaughlin,421,"2,611"
011 Kilbrew,221,"1,718"
012 Killeen,60,531
013 Kilmessan,118,718
014 Kilmore,113,726
015 Rathfeigh,74,438
016 Ratoath,629,"4,859"
017 Rodanstown,70,445
018 Skreen,125,662
019 Ardagh,47,275
020 Ballinlough,10,77
021 Balrathboyne,33,210
022 Boherboy,15,148
023 Burry,15,114
024 Carrickleck,44,185
025 Castlekeeran,34,188
026 Ceannanus Mór (Kells) Rural,261,"1,842"
027 Cruicetown,27,182
