Electoral Division,Highest Education Level,Total Hours Worked
018 Buncrowey,19,114
019 Castleconor East,9,85
020 Castleconor West,70,428
021 Dromard East,10,77
022 Dromard West,6,88
023 Dromore,36,173
024 Easky East,28,190
025 Easky West,37,282
026 Kilglass,101,597
028 Rathmacurkey,35,217
029 Skreen,10,67
030 Templeboy North,16,116
027 Templeboy South / Mullagheruse,17,84
032 Toberpatrick East,10,107
033 Toberpatrick West,11,123
034 Ballintogher East,53,294
035 Ballintogher West,30,201
036 Ballymote,96,741
037 Ballynakill,31,204
038 Ballysadare East,83,534
039 Ballysadare West,29,162
040 Bricklieve,19,105
041 Calry,112,709
042 Carney,58,277
043 Carrickbanagher,49,281
044 Cliffony North,63,358
045 Cliffony South,45,246
046 Collooney,155,"1,175"
047 Drumcliff East,48,284
048 Drumcliff West,99,689
049 Drumcolumb,12,125
050 Drumfin,25,162
051 Glencar,15,91
052 Kilmacowen,163,951
053 Knockaree,205,"1,627"
054 Lakeview,29,175
055 Lisconny,21,154
056 Lissadill East,69,374
057 Lissadill North,103,580
058 Lissadill West,47,249
059 Riverstown,30,268
060 Rossinver East,10,83
061 Rossinver West,19,109
062 Achonry East,28,187
063 Achonry West,66,302
064 Aclare,17,98
065 Annagh,4,77
066 Banada,49,208
069 Branchfield / Carrownaskeagh,8,77
068 Breencorragh,4,46
070 Cartron,5,68
072 Cloonoghill,13,127
073 Coolaney,84,562
074 Glendarragh,11,73
075 Kilmacteige,18,95
076 Kilturra,8,88
077 Leitrim,19,129
071 Loughill / Cloonacool,17,149
079 Owenmore,7,40
080 Streamstown,18,115
081 Temple,21,156
082 Tobercurry,158,988
001 Cavan Urban,188,"1,137"
002 Bailieborough,233,"1,410"
003 Carnagarve,45,239
004 Crossbane,44,249
005 Drumanespick,28,168
006 Enniskeen,27,209
007 Killinkere,34,197
008 Kingscourt,247,"1,281"
009 Lisagoan,28,173
010 Mullagh,133,865
011 Shercock,93,547
012 Skeagh,19,163
013 Taghart,32,270
014 Termon,41,212
015 Ballyconnell,117,623
016 Ballymagauran,9,84
017 Bawnboy,46,243
019 Bilberry,9,64
020 Carn,12,97
021 Diamond,3,51
022 Doogary,6,54
023 Kinawley,6,45
024 Lissanover,14,123
028 Pedara Vohers / Tircahan,13,68
026 Swanlinbar,26,160
018 Templeport / Benbrack,24,136
029 Ballyjamesduff,186,"1,184"
030 Castlerahan,59,349
031 Kilbride,67,376
032 Lurgan,55,244
033 Munterconnaught,76,465
034 Virginia,284,"1,784"
035 Ardue,72,341
036 Arvagh,58,385
037 Ashfield,20,133
038 Ballintemple,23,207
039 Ballyhaise,65,428
040 Ballymachugh,44,321
041 Bellananagh,98,602
042 Belturbet Urban,79,488
043 Bruce Hall,9,81
044 Butler's Bridge,31,212
045 Canningstown,36,236
046 Carrafin,22,159
047 Castlesaunderson,18,128
048 Cavan Rural,483,"3,299"
049 Clonervy,49,385
050 Cootehill Rural,76,447
051 Cootehill Urban,80,597
052 Corr,14,104
053 Corraneary,34,205
054 Crossdoney,30,227
055 Crosskeys,38,291
056 Cuttragh,32,159
057 Denn,48,283
058 Derrin,18,171
059 Drumcarban,37,245
060 Drumcarn,29,208
061 Drung,30,222
062 Graddum,31,211
063 Grilly,32,177
064 Kilconny,40,212
065 Kill,21,139
066 Killashandra,60,457
067 Killykeen,29,243
068 Kilnaleck,76,460
069 Knappagh,29,208
070 Larah North,28,212
071 Larah South,38,223
072 Milltown,21,151
073 Moynehall,95,708
074 Rakenny,18,173
075 Redhill,23,188
076 Springfield,13,77
077 Stradone,50,336
078 Tullyvin East,36,202
079 Tullyvin West,19,133
080 Waterloo,55,350
081 Derrylahan,6,31
083 Dowra,10,68
082 Dunmakeever / Derrynananta,8,47
085 Eskey,13,81
087 Killinagh / Teebane,8,54
088 Tuam,17,143
089 Drumlumman,32,237
090 Kilcogy,20,162
091 Kilgolagh,17,134
092 Loughdawan,17,137
093 Scrabby,40,255
001 Buncrana Urban,164,"1,086"
002 Bundoran Urban,93,594
003 Letterkenny Urban,96,795
004 Ballintra,29,256
005 Ballyshannon Rural,96,583
006 Ballyshannon Urban,76,619
007 Bundoran Rural,69,433
008 Carrickboy,26,147
009 Cavangarden,14,165
010 Cliff,13,98
011 Ballintra,30,258
012 An Bhinn Bhán,15,57
013 Bonnyglen,27,156
014 Clogher,49,362
015 Corkermore,19,115
016 Donegal,235,"1,575"
017 Dunkineely,38,345
018 Eanymore,30,217
019 Grousehall,3,29
020 Haugh,13,105
021 Inver,39,301
022 Laghy,47,296
023 Loch Iascaigh,20,118
024 Pettigoe,17,143
025 Tantallon,96,667
026 Tawnawully,19,121
027 Templecarn,7,46
028 Tullynaught,26,241
029 Ards,39,245
030 Críoch na Sméar,14,102
031 An Craoslach,39,235
032 Na Croisbhealaí,84,579
033 Caisleán na dTuath,11,83
034 Dún Fionnachaidh,44,325
035 Dún Lúiche,35,232
036 Gort an Choirce,73,439
037 Machaire Chlochair,158,898
038 Mín an Chladaigh,56,361
039 Anagaire,114,692
040 Árainn Mhór,22,83
041 Ard an Rátha,73,427
042 Cró Bheithe,11,52
043 Cró Chaorach,4,43
044 Crownarad,24,132
045 Dawros,37,239
046 An Dúchoraidh,5,16
047 An Clochán Liath,97,610
048 Baile na Finne,3,106
049 Gleann Cholm Cille,32,249
050 Gleann Gheis,32,281
051 Gleann Léithín,3,52
052 Na Gleannta,73,510
053 An Ghrafaidh,6,45
054 Inis Caoil,2,25
055 Cill Charthaigh,32,267
056 Cill Ghabhlaigh,12,134
057 Killybegs,95,871
058 An Leargaidh Mhór,34,206
059 Leitir Mhic an Bhaird,28,180
060 Maas,20,111
061 An Machaire,37,226
062 Málainn Bhig,16,117
063 Maol Mosóg,11,86
064 Inis Mhic an Doirn,69,415
065 Tieveskeelta,7,44
066 Ardmalin,48,231
067 Ballyliffin,53,418
068 Birdstown,60,508
069 Buncrana Rural,188,"1,384"
070 Burt,61,503
071 Carndonagh,100,769
072 Carthage,39,283
073 Castlecary,32,263
074 Castleforward,46,490
075 Culdaff,48,319
076 Desertegny,43,216
077 Dunaff,16,227
078 Fahan,90,591
079 Glennagannon,36,254
080 Gleneely,24,279
081 Glentogher,42,334
082 Greencastle,44,355
083 Illies,33,289
084 Inch Island,15,161
085 Kilderry,121,849
086 Killea,85,693
087 Malin,29,227
088 Mintiaghs,43,291
089 Moville,105,830
090 Newtown Cunningham,40,363
091 Redcastle,54,327
092 Straid,45,378
093 Three Trees,32,241
094 Turmone,11,100
095 Whitecastle,53,379
096 Ballymacool,89,954
097 Castlewray,202,"1,508"
098 Mín an Lábáin,14,139
099 Corravaddy,71,712
100 Edenacarnan,88,686
101 Gartán,11,67
102 Gortnavern,70,505
103 Killymasny,19,198
104 Kincraigy,39,380
105 Letterkenny Rural,452,"4,275"
106 Magheraboy,77,629
107 Manorcunningham,46,454
108 Suí Corr,6,44
109 Templedouglas,40,410
110 Ballyarr,24,225
111 Carraig Airt,33,272
112 An Cheathrú Chaol,35,292
113 Creamhghort,25,217
114 Fánaid Thuaidh,26,204
115 Fánaid Thiar,18,125
116 Glen,13,94
117 Glenalla,27,191
118 Grianfort,14,98
119 Killygarvan,2,42
120 Kilmacrenan,66,463
121 Cnoc Colbha,14,93
122 Loch Caol,19,110
123 Millford,63,524
124 Rathmelton,93,902
125 Rathmullan,41,310
126 Ros Goill,40,296
127 Rosnakill,10,96
128 An Tearmann,31,216
129 Allt na Péiste,8,140
130 Castlefinn,37,398
131 An Clochán,28,330
132 Cloghard,32,240
133 Clonleigh North,39,470
134 Clonleigh South,74,654
135 Convoy,84,837
136 Dooish,45,394
137 Feddyglass,16,195
138 Figart,28,385
139 Gleneely,61,564
140 Goland,21,137
141 Killygordon,50,381
142 Knock,79,717
143 Lettermore,21,173
144 Mín Charraigeach,7,50
145 Raphoe,38,440
146 St. Johnstown,43,466
147 Stranorlar,206,"1,422"
148 Treantaghmucklagh,35,308
149 Urney West,25,226
001 Carrickmacross Urban,142,828
002 Castleblayney Urban,38,333
003 Clones Urban,44,299
004 Monaghan Urban,148,"1,058"
005 Ballymackney,70,370
006 Bocks,39,310
007 Carrickmacross Rural,246,"1,582"
008 Corracharra,21,118
009 Crossalare,51,239
010 Donaghmoyne,59,274
011 Drumboory,36,209
012 Drumcarrow,46,193
013 Drumgurra,38,314
014 Enagh,63,283
015 Inishkeen,67,428
016 Kilmurry,46,244
017 Kiltybegs,61,279
018 Loughfea,49,272
019 Raferagh,33,200
020 Annayalla,26,254
021 Ballybay Rural,81,640
022 Ballybay Urban,11,111
023 Bellatrain,18,100
024 Broomfield,55,333
025 Carrickaslane,41,286
026 Carrickatee,23,136
027 Castleblayney Rural,184,"1,405"
028 Church Hill,35,261
029 Creeve,42,268
030 Cremartin,79,502
031 Greagh,24,189
032 Laragh,37,231
033 Mullyash,16,162
034 Aghabog,17,138
035 Anny,16,139
036 Clones Rural,87,549
037 Cormeen,28,206
038 Currin,37,254
039 Dawsongrove,31,292
040 Drum,5,73
041 Drummully,6,50
042 Killeevan,35,152
043 Killynenagh,7,91
044 Lisnaveane,20,172
045 Newbliss,31,317
046 St. Tierney,22,187
047 Anketell Grove,73,511
048 Bellanode,89,581
049 Bragan,26,144
050 Caddagh,31,212
051 Castleshane,52,396
052 Clones,25,193
053 Clontibret,55,323
054 Derrygorry,15,115
055 Drumhillagh,37,282
056 Drumsnat,46,399
057 Emyvale,74,546
058 Enagh,29,220
059 Figullar,23,232
060 Glaslough,49,429
061 Killylough,33,267
062 Kilmore,34,207
063 Monaghan Rural,351,"2,507"
064 Rackwallace,57,378
065 Scotstown,77,491
066 Shanmullagh,18,91
067 Sheskin,49,278
068 Tedavnet,42,410
069 Tehallan,56,372
070 Tullycorbet,25,265
