Electoral Division,Household Income
"040 Drum, Co. Monaghan",41184
"035 Seskinan, Co. Waterford",41181
"173 Moat, Co. Galway",41174
"038 Ballysadare East, Co. Sligo",41168
"139 Ballynahinch, Co. Clare",41165
"072 Turners Cross B, Cork City",41164
"156 Knockglass, Co. Kerry",41158
"016 Bunlahy, Co. Longford",41151
"094 Astee, Co. Kerry",41151
"035 Ballyhealy, Co. Westmeath",41147
"035 Ballyburly, Co. Offaly",41146
"052 Corr, Co. Cavan",41146
"100 Lismaha, Co. Roscommon",41136
"040 Ballymachugh, Co. Cavan",41133
"025 Tantallon, Co. Donegal",41126
"069 Drumod, Co. Leitrim",41125
"144 Royal Exchange A, Dublin City",41119
"044 Cloondara, Co. Longford",41117
"013 Taghart, Co. Cavan",41116
"129 Derrynagittagh, Co. Clare",41102
"070 Cartron, Co. Sligo",41082
"044 Kilmacumsy, Co. Roscommon",41077
"084 Kyle South, Co. Laois",41073
"127 Coolreagh, Co. Clare",41058
"013 Bolaboy, Co. Wexford",41044
"044 Ballygarrett, Co. Wexford",41042
"098 Crumlin A, Dublin City",41041
"034 Castletown, North Tipperary",41029
"060 Drumroe, Co. Waterford",40990
"128 Newcastle, South Tipperary",40978
"087 Clashmore, Co. Waterford",40977
"062 Magherareagh, Co. Clare",40971
"072 Keeldra, Co. Leitrim",40971
"304 Myross, Co. Cork",40968
"289 Caheragh, Co. Cork",40954
"266 Coomlogane, Co. Cork",40938
"065 Clonfad, Co. Westmeath",40931
"273 Kilcorney, Co. Cork",40920
"009 Baltinglass, Co. Wicklow",40912
"104 Ballinamore, Co. Mayo",40904
"057 Killaspuglonane, Co. Clare",40880
"062 Cashel, Co. Leitrim",40878
"006 Kineagh, Co. Carlow",40869
"033 Cabra West A, Dublin City",40853
"093 Culnacleha, Co. Mayo",40851
"056 Drumsnat, Co. Monaghan",40850
"018 Boston, Co. Clare",40840
"107 Greystown, South Tipperary",40832
"048 Ballyea, Co. Clare",40821
"074 Timoleague, Co. Cork",40820
999 Derrycunlagh / Derrylea,40819
"070 Portarlington South, Co. Laois",40815
"081 Shillelagh, Co. Wicklow",40810
"119 Ballyporeen, South Tipperary",40809
"005 Ballaghmoon, Co. Kildare",40799
"030 Moneenroe, Co. Kilkenny",40795
"055 Crosskeys, Co. Cavan",40768
"003 Ahascragh, Co. Galway",40767
"029 Mount Falcon, Co. Mayo",40762
"013 Finnoe, North Tipperary",40750
"101 Crumlin D, Dublin City",40746
"062 Lacka, Co. Laois",40745
"046 Collooney, Co. Sligo",40738
"019 Fossy, Co. Laois",40705
"017 Durrow, Co. Laois",40701
"078 Bumlin, Co. Roscommon",40695
"100 Clonoulty West, South Tipperary",40689
"139 Gleneely, Co. Donegal",40680
"033 St. Laurence, Limerick City",40678
"041 Hollymount, Co. Mayo",40668
"120 Moynsha, Co. Kerry",40653
"013 Mallardstown, Co. Kilkenny",40651
"004 Arran Quay D, Dublin City",40641
"082 Cloonygormican, Co. Roscommon",40619
"011 Kilmaganny, Co. Kilkenny",40597
"076 Horetown, Co. Wexford",40590
"007 Dunamaggan, Co. Kilkenny",40588
"018 Huntston, Co. Offaly",40577
"070 Ballynagoraher, Co. Mayo",40567
"002 Arran Quay B, Dublin City",40554
"023 Fair Hill C, Cork City",40554
"171 Kilquain, Co. Galway",40554
"086 Robertstown, Co. Kildare",40553
"003 Athlone East Rural (Part Urban), Co. Westmeath",40544
"147 Mounthazel, Co. Galway",40544
"134 Croaghpatrick, Co. Mayo",40520
"005 Ballyshannon Rural, Co. Donegal",40487
999 Templeboy South / Mullagheruse,40469
"028 Tullynaught, Co. Donegal",40454
"209 Levally, Co. Galway",40425
"155 Ballykisteen, South Tipperary",40423
"013 Croom, Co. Limerick",40397
"177 Williamstown, Co. Cork",40396
"108 Béal Átha an Ghaorthaidh, Co. Cork",40388
"083 Tramore, Co. Waterford",40388
"051 Gorey Rural, Co. Wexford",40382
"012 Skeagh, Co. Cavan",40370
"006 Broughal, Co. Offaly",40348
"006 Clondalkin-Dunawley, South Dublin",40346
"104 Drommartin, Co. Kerry",40343
"093 Ardmayle, South Tipperary",40337
"021 Inver, Co. Donegal",40320
"074 Turners Cross D, Cork City",40315
"001 Arran Quay A, Dublin City",40293
"079 Killesk, Co. Wexford",40272
"025 Carrickaslane, Co. Monaghan",40256
"085 Killaconnigan, Co. Meath",40246
"122 Tomhaggard, Co. Wexford",40236
"137 Baurtregaum, Co. Kerry",40236
"036 Stradbally, Co. Laois",40233
"086 Ballyhowly, Co. Mayo",40221
"034 Virginia, Co. Cavan",40218
"065 Knocklough, Co. Meath",40213
"043 Killummod, Co. Roscommon",40212
"128 Abbeydorney, Co. Kerry",40208
"073 Greenpark, Co. Westmeath",40203
"006 Ballitore, Co. Kildare",40196
"131 An Clochán, Co. Donegal",40193
"011 Blanchardstown-Corduff, Fingal",40192
"055 Bourney West, North Tipperary",40191
"072 Glenlough, Co. Westmeath",40188
"042 Killeevan, Co. Monaghan",40187
"007 Cloghan, Co. Offaly",40185
"086 Ullard, Co. Kilkenny",40164
"026 Carrickatee, Co. Monaghan",40160
"029 Bruree, Co. Limerick",40156
"078 Templetouhy, North Tipperary",40146
"043 Bruce Hall, Co. Cavan",40146
"060 Drumcarn, Co. Cavan",40146
"144 Killeroran, Co. Galway",40134
"059 Castlerichard, Co. Waterford",40132
"065 Lismore Rural, Co. Waterford",40132
"018 Lickeen, Co. Kerry",40126
"017 City Hall A, Cork City",40118
"143 Lettermore, Co. Donegal",40092
"033 Greenmount, Cork City",40090
"286 Aghadown North, Co. Cork",40090
"068 Ballingate, Co. Wicklow",40084
"064 Killeagh, Co. Meath",40070
"050 Cullenwaine, Co. Offaly",40064
"085 Cregga, Co. Roscommon",40061
"154 Kilmurry, Co. Kerry",40058
"018 Deel, Co. Mayo",40058
"044 Cliffony North, Co. Sligo",40058
"040 Arderin, Co. Laois",40056
"306 Skibbereen Rural, Co. Cork",40037
"116 Garrown, Co. Cork",40026
"195 Dunmore North, Co. Galway",40025
"057 Cappamore, Co. Limerick",40018
"084 Beagh, Co. Galway",40014
"002 Abbey B, Limerick City",40010
"090 Feenagh, Co. Limerick",40006
"093 Farnans, Co. Laois",40004
"112 Kilmeany, Co. Kerry",39998
"015 Oughtmama, Co. Clare",39988
"040 Kilbryan, Co. Roscommon",39975
"050 Rockingham, Co. Roscommon",39974
"006 Cashel West, Co. Longford",39968
"059 Drumcarban, Co. Cavan",39966
"114 Killedan, Co. Mayo",39961
"013 Castledermot, Co. Kildare",39958
"050 Lurganboy, Co. Leitrim",39945
"031 Loughan, Co. Meath",39935
"023 Cranemore, Co. Carlow",39915
"123 Wexford Rural (Part Urban), Co. Wexford",39915
"115 Dunmanway South, Co. Cork",39913
"052 Clones, Co. Monaghan",39894
"060 Liscannor, Co. Clare",39884
"019 Ballymore, Co. Westmeath",39882
"052 Glanlee, Co. Kerry",39877
"152 Kilgobban, Co. Kerry",39857
"003 Ballycumber, Co. Offaly",39836
"060 Monamolin, Co. Wexford",39834
"040 Tallaght-Tymon, South Dublin",39826
"029 Cé Bhréanainn, Co. Kerry",39816
"120 Tacumshin, Co. Wexford",39814
"103 Ogulla, Co. Roscommon",39808
"033 Toberpatrick West, Co. Sligo",39800
"073 Turners Cross C, Cork City",39789
"052 Tivannagh, Co. Roscommon",39788
"109 Coolnaha, Co. Mayo",39786
"012 Curraghbeg, Co. Kerry",39777
"019 Carlow Rural (Part Urban), Co Carlow",39774
"012 Ledwithstown, Co. Longford",39771
"016 Rathborney, Co. Clare",39755
"030 Cremartin, Co. Monaghan",39739
"010 Killamery, Co. Kilkenny",39734
"157 Knocknagashel, Co. Kerry",39730
"064 Tivoli A, Cork City",39728
"085 Kilnanare, Co. Kerry",39724
"083 Broadford, Co. Limerick",39704
"036 Na Gleannta, Co. Kerry",39695
"105 Harristown, Co. Wexford",39686
"081 Strade, Co. Mayo",39686
"030 Keereen, Co. Waterford",39682
"074 Rakenny, Co. Cavan",39680
"026 Granard Rural, Co. Longford",39670
"218 An Sliabh Riabhach, Co. Cork",39669
"140 Anner, South Tipperary",39660
"039 Drumahaire, Co. Leitrim",39659
"042 Breanrisk, Co. Longford",39647
"061 Castlelost, Co. Westmeath",39646
"215 Tuam Rural, Co. Galway",39630
"064 Kilconny, Co. Cavan",39627
"199 Béal Átha an Ghaorthaidh (Bealanageary), Co. Cork",39624
"117 Dunmoylan West, Co. Limerick",39613
"007 Dundalk Urban No. 4, Co. Louth",39577
"070 Baile Átha Buí, Co. Meath",39575
"014 Scotsborough, Co. Kilkenny",39573
"125 Tarmon, Co. Kerry",39550
"035 Myshall, Co. Carlow",39547
"084 Creeve, Co. Roscommon",39509
"049 Courtown, Co. Wexford",39507
"051 Stradbally, Co. Waterford",39507
"039 Aughrim, Co. Wicklow",39495
"107 Cappavilla, Co. Clare",39491
"006 Mallow North Urban, Co. Cork",39490
"055 Roscomroe, Co. Offaly",39479
"054 Lakeview, Co. Sligo",39469
"015 Inishkeen, Co. Monaghan",39465
"035 Emlygrennan, Co. Limerick",39460
"299 Garranes, Co. Cork",39457
"058 An Leargaidh Mhór, Co. Donegal",39454
"025 Ruan, Co. Clare",39449
"161 Greenane, Co. Cork",39445
"158 Cappagh, South Tipperary",39445
"018 Humewood, Co. Wicklow",39434
"141 Ballingarry, South Tipperary",39431
"090 Kilcogy, Co. Cavan",39419
"167 Meens, Co. Cork",39416
"072 Killofin, Co. Clare",39409
"210 Milltown, Co. Galway",39407
"075 Killea, Co. Waterford",39398
"070 Fenagh, Co. Leitrim",39358
"038 Hospital, Co. Limerick",39356
"200 Kilbennan, Co. Galway",39349
"162 Donohill, South Tipperary",39342
"040 Kilflyn, Co. Limerick",39333
"033 Furroor, Co. Clare",39328
"085 Cleanglass, Co. Limerick",39325
"023 Muckanagh, Co. Clare",39299
"080 Raheenakeeran, Co. Offaly",39295
"001 Abbeyleix, Co. Laois",39282
"020 Fortland, Co. Mayo",39268
"057 Killybegs, Co. Donegal",39264
"042 Edenderry Urban, Co. Offaly",39255
"031 Kilbride, Co. Cavan",39245
"298 Dromdaleague South, Co. Cork",39244
"007 Castletown, Co. Laois",39239
"019 Corrofin, Co. Clare",39229
"146 Derreen, Co. Kerry",39227
"049 Ballymurphy, Co. Carlow",39222
"047 Anketell Grove, Co. Monaghan",39196
"105 Duagh, Co. Kerry",39183
"049 Drumcolumb, Co. Sligo",39173
"029 Kiltealy, Co. Wexford",39146
"135 Oola, Co. Limerick",39118
"111 Kimmage A, Dublin City",39108
"062 Graddum, Co. Cavan",39097
"050 Clonaslee, Co. Laois",39090
"158 Dromina, Co. Cork",39086
"094 Garrymore, Co. Mayo",39084
"014 Eglish, Co. Offaly",39073
"020 Ballinlough, Co. Meath",39054
"003 Agharra, Co. Longford",39045
"019 Pilltown, Co. Kilkenny",39030
"112 Kimmage B, Dublin City",39006
"151 Boherboy, Co. Cork",38997
"032 Glasheen C, Cork City",38995
"136 Banna, Co. Kerry",38994
"007 Wicklow Urban, Co. Wicklow",38987
"086 Moneymore, Co. Laois",38981
"028 Girley, Co. Meath",38966
"084 Thomastown, Co. Kilkenny",38961
"070 Creggs, Co. Galway",38961
"019 Derry, Co. Mayo",38961
"018 Grange South, Waterford City",38959
"096 Ballyconry, Co. Kerry",38937
"159 Oughterard, Co. Galway",38920
"018 Laurencetown, Co. Galway",38919
"164 Emly, South Tipperary",38915
"063 Derry, Co. Cork",38911
"082 Errill, Co. Laois",38908
"065 Kill, Co. Cavan",38903
"021 Currygrane, Co. Longford",38883
"049 Terenure-St. James, South Dublin",38875
"006 Dangan, Galway City",38864
"055 Formoyle, Co. Clare",38849
"156 Leitir Breacáin, Co. Galway",38835
"045 Canningstown, Co. Cavan",38833
"086 Cappard, Co. Galway",38832
"053 Munakill, Co. Leitrim",38813
"063 Monaghan Rural (Part Rural), Co. Monaghan",38813
"007 Carran, Co. Clare",38810
"022 Terryglass, North Tipperary",38810
"105 Rooskagh, Co. Limerick",38805
"077 Leitrim, Co. Sligo",38795
"060 Glaslough, Co. Monaghan",38787
"096 Ballymitty, Co. Wexford",38783
"108 Gunsborough, Co. Kerry",38773
"023 Loch Iascaigh, Co. Donegal",38770
"012 Moate, Co. Westmeath",38758
"082 New Ross Rural, Co. Wexford",38744
"086 Ballyheeny, Co. Waterford",38706
"308 Woodfort, Co. Cork",38685
"108 Killag, Co. Wexford",38667
"126 Cloonusker, Co. Clare",38663
"064 Moy, Co. Clare",38661
"040 Ballinamuck East, Co. Longford",38653
"021 Maum, Co. Kerry",38646
"146 Knappagh, Co. Mayo",38635
"166 Knocktemple, Co. Cork",38621
"007 Ballindaggan, Co. Wexford",38613
"068 Coolougher, Co. Roscommon",38612
"006 Ballingarry, North Tipperary",38600
"138 Figart, Co. Donegal",38597
"011 Killaraght, Co. Sligo",38591
"005 Ballyphehane B, Cork City",38546
"081 Creegh, Co. Clare",38537
"083 Kyle, Co. Laois",38528
"091 Mullingar South Urban, Co. Westmeath",38518
"114 Oughterleague, South Tipperary",38510
"102 St. Martin's, Co. Clare",38509
"074 Kilbeheny, Co. Limerick",38508
"019 Creevy, Co. Longford",38506
"013 Killoran, Co. Galway",38503
"096 Knocknagore, Co. Clare",38502
"066 Ballyanne, Co. Wexford",38486
"076 Rinealon, Co. Clare",38484
"057 Denn, Co. Cavan",38479
"068 Breencorragh, Co. Sligo",38457
"012 Ballygall B, Dublin City",38455
"099 Crumlin B, Dublin City",38444
"022 Kilfian South, Co. Mayo",38427
"001 Clonakilty Urban, Co. Cork",38423
"089 Claremorris, Co. Mayo",38422
"020 Gortnagullion, Co. Leitrim",38412
"065 Tieveskeelta, Co. Donegal",38411
"037 Cormeen, Co. Monaghan",38409
"039 Kinturk, Co. Clare",38383
"075 Rinn, Co. Leitrim",38372
"044 Kilmaine, Co. Mayo",38361
"117 Lisselton, Co. Kerry",38359
"042 Houndswood, Co. Mayo",38359
"057 Finglas South D, Dublin City",38353
"009 Ballyhoge, Co. Wexford",38333
"172 Rodus, South Tipperary",38326
"101 Murneen, Co. Mayo",38317
"050 Curryglass, Co. Cork",38305
"096 Kilvine, Co. Mayo",38292
"085 Rathroe, Co. Wexford",38282
"068 Kilnaleck, Co. Cavan",38257
"157 Letterfore, Co. Galway",38255
"011 Mervue, Galway City",38254
"081 Cloontuskert, Co. Roscommon",38245
"105 Bohola, Co. Mayo",38244
"036 Dolla, North Tipperary",38240
"065 Daingean, Co. Offaly",38209
"063 Castlefore, Co. Leitrim",38198
"081 Priorswood B, Dublin City",38195
"016 Toomour, Co. Sligo",38192
999 Glenroe / Ballyeighter,38186
"029 Finnea, Co. Westmeath",38168
"077 Kilfane, Co. Kilkenny",38146
"059 Reen, Co. Kerry",38145
"071 Killadysert, Co. Clare",38144
"153 Ushers B, Dublin City",38143
"317 Lowertown, Co. Cork",38140
"017 Columbkille, Co. Longford",38138
"009 Castle B, Limerick City",38135
"083 Priorswood D, Dublin City",38127
"035 Ardue, Co. Cavan",38126
"095 Cherry Orchard A, Dublin City",38117
"008 Killygar, Co. Leitrim",38106
"009 Clondalkin-Rowlagh, South Dublin",38089
"075 Redhill, Co. Cavan",38089
"102 Crumlin E, Dublin City",38083
"014 Dunlavin, Co. Wicklow",38072
"074 Moyaliff, North Tipperary",38072
"027 Clogh, Co. Kilkenny",38052
"031 Sallymount, Co. Mayo",38049
"044 An Sráidbhaile, Co. Kerry",38029
"032 Skerries, Co. Kildare",38022
"041 Delvin, Co. Westmeath",38021
"115 Peppardstown, South Tipperary",38014
"072 Duntryleague, Co. Limerick",38008
"066 Caragh, Co. Kerry",38004
"025 Winetown, Co. Westmeath",38002
"102 Tagheen, Co. Mayo",37999
"024 Lissanover, Co. Cavan",37968
"145 Killian, Co. Galway",37964
"029 Ballyjamesduff, Co. Cavan",37950
"028 Bruff, Co. Limerick",37943
999 Branchfield / Carrownaskeagh,37932
"174 Pallas, Co. Galway",37924
"023 Kilfergus, Co. Limerick",37916
"058 Cahermore, Co. Cork",37911
"044 Knocklong, Co. Limerick",37907
"004 Ballyphehane A, Cork City",37889
"136 Dooish, Co. Donegal",37889
999 Noughaval / Castletown,37886
"078 Portarlington North, Co. Offaly",37869
"303 Knockskagh, Co. Cork",37860
"066 Ballynacally, Co. Clare",37836
"067 Sheskin, Co. Monaghan",37820
"075 Kilmacteige, Co. Sligo",37813
"170 Newmarket, Co. Cork",37806
"094 Johnstown, Co. Kilkenny",37801
"243 Streamhill, Co. Cork",37778
"082 Priorswood C, Dublin City",37776
"093 Kilgefin, Co. Roscommon",37772
"098 Mín an Lábáin, Co. Donegal",37766
"050 Edenmore, Dublin City",37756
"093 Ardcolm, Co. Wexford",37755
"004 Drumreilly North, Co. Leitrim",37748
"087 Bekan, Co. Mayo",37718
"055 Finglas South B, Dublin City",37717
"028 Ballynacourty, Co. Kerry",37712
"042 Kilteely, Co. Limerick",37710
"156 Bansha, South Tipperary",37710
"053 Gorteen, Co. Offaly",37704
"007 Bishopstown B, Cork City",37700
"169 Killimor, Co. Galway",37700
"121 Merchants Quay C, Dublin City",37692
"010 Portlaw, Co. Waterford",37690
"150 An Fhairche, Co. Galway",37683
"060 Maas, Co. Donegal",37681
"084 Einagh, Co. Clare",37678
"300 Gortnascreeny, Co. Cork",37676
"016 Gallen, Co. Offaly",37669
"020 Taghboy, Co. Roscommon",37659
"160 Cullen, South Tipperary",37618
"007 Doory, Co. Longford",37613
"002 Cobh Urban, Co. Cork",37613
"092 Glenagower, Co. Limerick",37608
"031 An Uillinn, Co. Galway",37600
"073 Kilmurry, Co. Clare",37595
"051 Finglas North A, Dublin City",37594
"057 Beihy, Co. Leitrim",37593
"029 Skreen, Co. Sligo",37593
"126 Trienearagh, Co. Kerry",37588
"049 Killashee, Co. Longford",37562
"022 Glin, Co. Limerick",37548
"054 Dangans, Co. Laois",37518
"032 Cabra East C, Dublin City",37516
"041 Lack, Co. Kerry",37514
"041 Kilmore, North Tipperary",37512
"017 Dunkineely, Co. Donegal",37506
"047 Cahore, Co. Wexford",37504
"007 Cuilmore, Co. Sligo",37495
"177 Tynagh, Co. Galway",37493
"008 Castle A, Limerick City",37489
"031 Cabra East B, Dublin City",37486
"081 Newbawn, Co. Wexford",37486
"145 Kilsallagh, Co. Mayo",37485
"083 Drumellihy, Co. Clare",37469
"099 Loughanboy, Co. Mayo",37466
"047 Killanummery, Co. Leitrim",37464
"121 Caher, South Tipperary",37460
"112 Tulsk, Co. Roscommon",37444
"066 Killashandra, Co. Cavan",37433
"001 Killarney Urban, Co. Kerry",37423
"020 Annayalla, Co. Monaghan",37420
"034 Creeve, Co. Roscommon",37417
"059 Kilshanny, Co. Clare",37415
"026 Tawnawully, Co. Donegal",37409
"014 Nuns Island, Galway City",37404
"081 Clonmore, Co. Laois",37401
"030 Boyle Rural, Co. Roscommon",37377
"065 Adamstown, Co. Wexford",37371
"068 Coolmeen, Co. Clare",37369
"107 Rosmoylan, Co. Roscommon",37365
"069 Anglesborough, Co. Limerick",37354
"029 Gillabbey C, Cork City",37344
"088 Dromcolliher, Co. Limerick",37339
"019 Bilberry, Co. Cavan",37335
"117 Meelick, Co. Mayo",37294
"096 Ballymacool (Part Rural), Co. Donegal",37268
"005 Cashel East, Co. Longford",37263
"010 Killadoon, Co. Sligo",37263
"034 Shannon A, Limerick City",37257
"019 Rathcabban, North Tipperary",37256
"029 Kilmainham, Co. Meath",37231
"163 Abbeyville, Co. Galway",37231
999 Drumreilly West / Drumreilly East,37225
"091 Course, Co. Mayo",37201
"024 Kilgarvan, Co. Mayo",37194
"021 Dromard East, Co. Sligo",37182
"077 Cahermurphy, Co. Clare",37181
"040 Cinn Aird, Co. Kerry",37180
"103 Streamstown, Co. Westmeath",37178
"038 Rathanna, Co. Carlow",37172
"165 Tralee Rural (Part Urban), Co. Kerry",37148
"088 Caraun, Co. Mayo",37137
999 Marblehill / Loughatorick,37132
"022 Kinnitty, Co. Offaly",37119
"133 Doon South, Co. Limerick",37115
"065 Cloone, Co. Leitrim",37095
"110 Ballyarr, Co. Donegal",37088
"123 Loghill, Co. Limerick",37080
"068 Drumdoo, Co. Leitrim",37075
"003 Corrala, Co. Leitrim",37074
"014 Centre A, Cork City",37073
"005 Aglishcloghane, North Tipperary",37072
"134 Killaloe, Co. Clare",37071
"001 Arklow No. 1 Urban, Co. Wicklow",37070
"082 Tinahely, Co. Wicklow",37067
"074 Kilcroan, Co. Galway",37061
"117 Glenalla, Co. Donegal",37046
"065 Annagh, Co. Sligo",37011
"056 Aghavas, Co. Leitrim",36992
"059 Ballintober, Co. Roscommon",36988
"040 Avoca, Co. Wicklow",36967
"060 Sundays Well B, Cork City",36964
"153 Srahmore, Co. Mayo",36955
"063 Borrisoleigh, North Tipperary",36925
"004 Banagher, Co. Offaly",36886
"063 Clara, Co. Offaly",36885
"045 Kilmore, Co. Roscommon",36864
"027 Castleblayney Rural (Part Rural), Co. Monaghan",36858
"013 Annaduff, Co. Leitrim",36836
"104 Kincraigy, Co. Donegal",36832
"088 Milltown, Co. Westmeath",36830
"031 An Clochán, Co. Kerry",36826
"046 Kilcumny, Co. Westmeath",36814
"292 Castlehaven North, Co. Cork",36793
"151 Kilgarrylander, Co. Kerry",36789
"294 Cloghdonnell, Co. Cork",36786
"021 Diamond, Co. Cavan",36778
"016 Gracedieu, Waterford City",36754
"092 Loughdawan, Co. Cavan",36752
"107 Askeaton East, Co. Limerick",36751
"284 Mitchelstown, Co. Cork",36748
"018 Castle Talbot, Co. Wexford",36746
"160 An Ros, Co. Galway",36745
"046 Aghancon, Co. Offaly",36742
"066 Shanmullagh, Co. Monaghan",36738
"067 Ballyhack, Co. Wexford",36736
"202 Claonráth, Co. Cork",36714
"063 Achonry West, Co. Sligo",36703
"036 Arvagh, Co. Cavan",36694
"016 Donegal, Co. Donegal",36683
"155 Kiltallagh, Co. Kerry",36682
"089 Tintern, Co. Wexford",36675
"079 Templetogher, Co. Galway",36670
"028 Tallaght-Avonbeg, South Dublin",36623
"170 Lattin, South Tipperary",36600
"083 Ballycahalan, Co. Galway",36592
"293 Castlehaven South, Co. Cork",36591
"057 Emyvale, Co. Monaghan",36584
"140 Goland, Co. Donegal",36582
"059 Riverstown, Co. Sligo",36581
"030 Tallaght-Fettercairn, South Dublin",36576
"003 Sligo West, Co. Sligo",36565
"011 Kilglass, Co. Longford",36551
"077 Killinure, Co. Wicklow",36544
"037 An Cheapaigh Dhuibh, Co. Mayo",36532
"124 Merchants Quay F, Dublin City",36526
"075 Kiltullagh, Co. Galway",36517
"007 Bundoran Rural, Co. Donegal",36507
"039 Glengarriff, Co. Cork",36499
"122 Rathea, Co. Kerry",36495
"034 Ballinrobe, Co. Mayo",36476
"077 Croaghmoyle, Co. Mayo",36463
"097 Killukin, Co. Roscommon",36439
"047 Kilmacthomas, Co. Waterford",36438
"059 Guala Mhór, Co. Mayo",36421
"067 Aghowle, Co. Wicklow",36416
"019 Commons, Cork City",36412
"155 Clonfert West, Co. Cork",36401
"020 Kilcormac, Co. Offaly",36365
"071 Littleton, North Tipperary",36350
"155 Ushers D, Dublin City",36346
"126 Aghagower South, Co. Mayo",36338
"176 Tiranascragh, Co. Galway",36317
"100 Querrin, Co. Clare",36311
"006 Ballymacward, Co. Galway",36297
"229 Doneraile, Co. Cork",36293
"097 Bannow, Co. Wexford",36262
"105 Drumfinn, Dublin City",36250
"066 Moylagh, Co. Meath",36239
"078 Cloonadrum, Co. Clare",36238
"004 Westport Urban, Co. Mayo",36238
"031 Glasheen B, Cork City",36221
"049 Pouladuff A, Cork City",36205
"057 Templeharry, Co. Offaly",36171
"023 Castletown (Part Urban), Co. Louth",36163
"150 Mullinahone, South Tipperary",36146
"039 Keadew, Co. Roscommon",36146
"014 Graigue, North Tipperary",36143
"002 Tullamore Urban, Co. Offaly",36142
"045 Sheepshead, Co. Cork",36137
"001 Ballinasloe Urban, Co. Galway",36135
"162 Kanturk, Co. Cork",36123
"005 Ballynashee, Co. Sligo",36123
"027 Dundalk Rural (Part Urban), Co. Louth",36096
"015 Centre B, Cork City",36093
"085 Glenmore, Co. Clare",36089
"128 Loughrea Urban, Co. Galway",36084
"121 Newtownsandes, Co. Kerry",36082
"052 Killaconenagh, Co. Cork",36078
"094 Knock, Co. Clare",36070
"024 Kilmoylan, Co. Limerick",36070
"010 Drumcreehy, Co. Clare",36068
"035 Baile Óbha, Co. Mayo",36068
"108 Askeaton West, Co. Limerick",36058
"169 Nad, Co. Cork",36053
"101 Duncormick, Co. Wexford",36047
"027 Aughrim West, Co. Roscommon",36043
"009 Ardee Urban, Co. Louth",36040
"151 Conga, Co. Galway",36034
"092 Kilmurry, Co. Clare",36031
"026 Castlecomer, Co. Kilkenny",36028
999 Glenco / Sheskin,36026
"044 Borris, Co. Laois",36019
"033 Tallaght-Killinardan, South Dublin",35993
"092 Newtown, South Tipperary",35991
"013 Abbeylara, Co. Longford",35989
"062 Buckill, Co. Roscommon",35966
"142 Castleisland, Co. Kerry",35962
"006 Abbey, Co. Clare",35951
"069 Tallow, Co. Waterford",35946
"050 Ford, Co. Wexford",35940
"141 Carker, Co. Kerry",35924
"024 Rath, Co. Clare",35923
"080 Cooraclare, Co. Clare",35923
"114 Dunmanway North, Co. Cork",35905
"091 Clomantagh, Co. Kilkenny",35897
"073 Lisgillock, Co. Leitrim",35896
"106 Brackloon, Co. Mayo",35894
"120 Toocananagh, Co. Mayo",35889
"084 Killorglin, Co. Kerry",35888
"117 Mansion House A, Dublin City",35885
"061 Gortnapeaky, Co. Waterford",35885
"080 Kilbixy, Co. Westmeath",35875
"019 Drumsna, Co. Leitrim",35874
"006 Rathmichael (Bray), Co. Wicklow",35820
"004 Hacketstown, Co. Carlow",35810
"149 Kerryhead, Co. Kerry",35806
"008 Drumrat, Co. Sligo",35803
"056 Finglas South C, Dublin City",35801
"048 Cappagh, Co. Kerry",35795
"109 Kilfeighny, Co. Kerry",35779
"154 Ushers C, Dublin City",35760
"045 Dawros, Co. Donegal",35738
"114 Fánaid Thuaidh, Co. Donegal",35709
"019 Clonroche, Co. Wexford",35706
"005 Birr Rural, Co. Offaly",35695
"072 Milltown, Co. Cavan",35692
"149 Modeshil, South Tipperary",35689
"092 Doonane, Co. Laois",35652
"054 Cill Chuimin, Co. Galway",35610
"042 Ballycanew, Co. Wexford",35603
"043 An Mhin Aird, Co. Kerry",35593
"128 Castletownroche, Co. Cork",35590
"053 Glanlough, Co. Kerry",35588
"161 Curraheen, South Tipperary",35588
"093 Glengort, Co. Limerick",35578
"124 Tarbert, Co. Kerry",35574
"104 Roosky, Co. Roscommon",35563
"054 Tumna South, Co. Roscommon",35559
"064 Cattan, Co. Leitrim",35550
"037 Gurranebraher D, Cork City",35544
"017 Borris, Co. Carlow",35540
"030 Gubacreeny, Co. Leitrim",35536
"105 Letterkenny Rural (Part Rural), Co. Donegal",35515
"104 Rathronan, Co. Limerick",35505
"025 Killala, Co. Mayo",35500
"026 Boherquill, Co. Westmeath",35498
"068 Clydagh, Co. Kerry",35492
"003 West Gate, Co. Louth",35490
"067 Oldcastle, Co. Meath",35443
"046 Glenfarn, Co. Leitrim",35437
"017 Ballymun C, Dublin City",35408
"113 Drinagh, Co. Cork",35404
"002 Nenagh West Urban, North Tipperary",35368
"096 Kilthomas, Co. Galway",35365
"054 Finglas South A, Dublin City",35349
"013 Bonnyglen, Co. Donegal",35346
"121 Toomore, Co. Mayo",35340
"071 Curraghmore, Co. Kerry",35333
"041 Bellananagh, Co. Cavan",35308
"014 Barnameenagh, Co. Leitrim",35304
"035 Dún Urlann, Co. Kerry",35303
"019 Galvone A, Limerick City",35292
"027 Gillabbey A, Cork City",35286
"107 Callow, Co. Mayo",35271
"091 Kilgolagh, Co. Cavan",35270
